Primary Number,OTIS ID,Property Number,Name,Aliases and Alias Types,St Number,St Name,City,County,Zip,Vicinity,Other Geography,Evaluation Info,District Elements,Parent District,Assoc Resources,Parcel Num,MilePost,Ownership,Construction Year(s),oCode,Date Modified,Export Date
,538379,159469,SUPERINTENDENT,CAMP PEACEFUL PINES^Other Name | COOKS' CABIN^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1964,,4/5/2018,9/23/2022
,538380,159470,CECIL WATSON CABIN,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1986,,4/5/2018,9/23/2022
,538381,159471,CABIN 1,CAMP PEACEFUL PINES^Other Name | DIRECTOR'S CABIN^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1948,,4/5/2018,9/23/2022
,538382,159472,CABIN 2,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1958,,4/5/2018,9/23/2022
,538383,159473,CABIN 3,CAMP PEACEFUL PINES^Other Name | DIRECTOR CABIN^Other Name | NURSE^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1947,,4/5/2018,9/23/2022
,538384,159474,CABIN #4,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1958,,4/5/2018,9/23/2022
,538385,159475,CABIN #5,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1948,,4/5/2018,9/23/2022
,538386,159476,CABIN #6,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1959,,4/5/2018,9/23/2022
,538387,159477,CABIN #7,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1948,,4/5/2018,9/23/2022
,538388,159478,CABIN #8,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1959,,4/5/2018,9/23/2022
,538389,159479,CABIN #9,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1948,,4/5/2018,9/23/2022
,538390,159480,CABIN 10,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1960,,4/5/2018,9/23/2022
,538391,159481,TENT CABIN 11,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1976,,4/5/2018,9/23/2022
,538392,159482,TENT CABIN 12,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1976,,4/5/2018,9/23/2022
,538393,159483,TENT CABIN 13,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1976,,4/5/2018,9/23/2022
,538394,159487,TENT CABIN 14,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1976,o37121c8,4/5/2018,9/23/2022
,538395,159488,WEST BATHROOM,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1970,o37121c8,4/5/2018,9/23/2022
,538396,159489,EAST BATHROOM,CAMP PEACEFUL PINES^Other Name,,,STA NF,ALPINE,,,,"6Y, 11/18/2004, USFS041108K",,,,,,P,1976,o37121c8,4/5/2018,9/23/2022
